Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude     Altitude    HDOP        eRes
    1          Valid   9/9  16/11/18  21:26:09  16/11/18  21:26:10.694      1.694     33.89590    -83.36041       164.02     1.1         4.3
    2          Valid   7/7  16/11/18  21:31:08  16/11/18  21:31:09.690      1.690     33.89591    -83.36028       185.88     1.5         7.1
    3          Valid   8/8  16/11/18  23:36:09  16/11/18  23:36:10.476      1.476     33.89591    -83.36025       170.37     1.6         2.1
    4          Valid   7/7  16/11/18  23:41:08  16/11/18  23:41:09.479      1.479     33.89584    -83.36030       203.24     1.5         8.2
    5          Valid   6/6  16/11/19  01:46:09  16/11/19  01:46:10.217      1.217     33.89584    -83.36017       200.50     1.8         3.2
    6          Valid   7/7  16/11/19  01:51:07  16/11/19  01:51:08.190      1.190     33.89582    -83.36031       188.32     1.5         3.0
    7          Valid   8/8  16/11/19  03:56:07  16/11/19  03:56:07.976      0.976     33.89583    -83.36033       190.34     1.0         3.4
    8          Valid   6/6  16/11/19  04:01:08  16/11/19  04:01:08.942      0.942     33.89586    -83.36049       169.03     1.7         1.4
    9          Valid   4/4  16/11/19  06:06:10  16/11/19  06:06:09.782     -0.218     33.89597    -83.36020       169.03    19.1         0.3
   10          Valid   3/3  16/11/19  06:11:10  16/11/19  06:11:09.782     -0.218     33.89571    -83.36008       169.03     3.5         0.9
   11          Valid   7/7  16/11/19  08:16:07  16/11/19  08:16:07.620      0.620     33.89571    -83.36027       170.43     1.4         2.6
   12          Valid   5/6  16/11/19  08:21:04  16/11/19  08:21:04.612      0.612     33.89582    -83.36018       169.84     2.4         0.4
   13          Valid   5/5  16/11/19  10:26:10  16/11/19  10:26:09.444     -0.556     33.89629    -83.36019       191.45     5.8         0.8
   14          Valid   3/3  16/11/19  10:31:10  16/11/19  10:31:09.444     -0.556     33.89599    -83.36012       191.45     2.3         1.0
   15          Valid   5/6  16/11/19  12:36:08  16/11/19  12:36:08.307      0.307     33.89560    -83.36011       222.23     2.4         0.6
   16          Valid   4/4  16/11/19  12:41:10  16/11/19  12:41:10.906      0.906     33.89073    -83.36089       222.25    82.5         0.2
   17          Valid   7/7  16/11/19  14:46:07  16/11/19  14:46:07.010      0.010     33.89592    -83.36036       179.97     1.3         1.5
   18          Valid   6/6  16/11/19  14:51:08  16/11/19  14:51:07.983     -0.017     33.89613    -83.36039       227.26     2.4         3.4
   19          Valid   7/8  16/11/19  16:56:07  16/11/19  16:56:06.717     -0.283     33.89572    -83.36043       196.20     1.7         2.3
   20          Valid   8/9  16/11/19  17:01:10  16/11/19  17:01:08.729     -1.271     33.89593    -83.36029       189.14     1.3         5.1
   21          Valid   5/5  16/11/19  19:06:10  16/11/19  19:06:08.441     -1.559     33.89592    -83.36010       169.59     7.7         1.3
   22          Valid   6/6  16/11/19  19:11:10  16/11/19  19:11:08.377     -1.623     33.89558    -83.36044       171.14     5.3         0.9
   23          Valid   8/8  16/11/19  21:16:07  16/11/19  21:16:06.145     -0.855     33.89575    -83.36032       176.66     1.8         3.6
   24          Valid   9/9  16/11/19  21:21:09  16/11/19  21:21:08.156     -0.844     33.89585    -83.36021       199.67     1.0         3.6
   25          Valid   8/8  16/11/19  23:26:10  16/11/19  23:26:07.920     -2.080     33.89582    -83.36024       179.36     1.6         5.2
   26          Valid   9/9  16/11/19  23:31:08  16/11/19  23:31:06.908     -1.092     33.89609    -83.36038       198.76     1.2         5.6
   27          Valid   6/6  16/11/20  01:36:10  16/11/20  01:36:07.781     -2.219     33.89591    -83.36042       198.27     1.9         0.2
   28          Valid   9/9  16/11/20  01:41:08  16/11/20  01:41:06.781     -1.219     33.89589    -83.36022       185.64     1.1         7.3
   29          Valid   7/7  16/11/20  03:46:09  16/11/20  03:46:07.591     -1.409     33.89574    -83.36023       181.63     1.2         4.1
   30          Valid   8/8  16/11/20  03:51:08  16/11/20  03:51:06.596     -1.404     33.89580    -83.36025       184.58     1.6         3.6
   31          Valid   7/7  16/11/20  05:56:07  16/11/20  05:56:05.396     -1.604     33.89601    -83.36080       224.45     2.2         7.8
   32          Valid   7/7  16/11/20  06:01:07  16/11/20  06:01:05.457     -1.543     33.89564    -83.36003       203.61     2.5         3.2
   33          Valid   6/7  16/11/20  08:06:07  16/11/20  08:06:05.336     -1.664     33.89586    -83.36010       183.84     3.2         2.8
   34          Valid   8/9  16/11/20  08:11:07  16/11/20  08:11:05.325     -1.675     33.89583    -83.36027       183.85     1.3         4.2
   35          Valid   6/6  16/11/20  10:16:08  16/11/20  10:16:06.244     -1.756     33.89593    -83.36023       183.77     2.3         2.4
   36          Valid   7/7  16/11/20  10:21:09  16/11/20  10:21:07.213     -1.787     33.89573    -83.36033       159.11     2.7         1.4
   37          Valid   7/7  16/11/20  12:26:06  16/11/20  12:26:04.114     -1.886     33.89580    -83.36039       185.17     1.7         4.9
   38          Valid   8/8  16/11/20  12:31:06  16/11/20  12:31:04.080     -1.920     33.89628    -83.36021       157.97     1.4         7.6
   39          Valid   6/6  16/11/20  14:36:07  16/11/20  14:36:04.880     -2.120     33.89608    -83.36031       170.47     2.2         1.0
   40          Valid   8/8  16/11/20  14:41:08  16/11/20  14:41:05.904     -2.096     33.89577    -83.36035       183.30     1.3         3.8
   41          Valid   6/8  16/11/20  16:46:09  16/11/20  16:46:06.643     -2.357     33.89577    -83.36029       191.75     2.3         2.2
   42          Valid   8/9  16/11/20  16:51:08  16/11/20  16:51:05.667     -2.333     33.89580    -83.36043       194.46     1.6         3.9
   43          Valid   5/6  16/11/20  18:56:10  16/11/20  18:56:06.345     -3.655     33.89574    -83.36057       189.33     9.6         1.1
   44          Valid   7/7  16/11/20  19:01:07  16/11/20  19:01:04.383     -2.617     33.89569    -83.36033       179.71     6.8         2.6
   45          Valid   6/6  16/11/20  21:06:07  16/11/20  21:06:04.145     -2.855     33.89586    -83.36025       174.70     3.2         1.7
   46          Valid   5/5  16/11/20  21:11:10  16/11/20  21:11:06.107     -3.893     33.89548    -83.36089       148.66     4.8         1.4
   47          Valid   7/7  16/11/20  23:16:08  16/11/20  23:16:04.970     -3.030     33.89582    -83.36033       215.30     1.3         1.2
   48          Valid   8/8  16/11/20  23:21:08  16/11/20  23:21:04.952     -3.048     33.89584    -83.36027       176.49     1.2         3.6
   49          Valid   6/6  16/11/21  01:26:04  16/11/21  01:26:00.754     -3.246     33.89579    -83.36040       178.19     1.9         1.7
   50          Valid   6/6  16/11/21  01:31:05  16/11/21  01:31:01.768     -3.232     33.89585    -83.36026       166.43     1.8         3.0
   51          Valid   8/8  16/11/21  03:36:10  16/11/21  03:36:05.545     -4.455     33.89580    -83.36020       194.84     1.7         3.5
   52          Valid   7/7  16/11/21  03:41:09  16/11/21  03:41:05.537     -3.463     33.89590    -83.36030       180.79     1.1         2.4
   53          Valid   6/6  16/11/21  05:46:07  16/11/21  05:46:03.388     -3.612     33.89561    -83.36014       161.21     2.3         1.1
   54          Valid   5/5  16/11/21  05:51:10  16/11/21  05:51:05.361     -4.639     33.89580    -83.36034       189.52     3.0         0.7
   55          Valid   6/7  16/11/21  07:56:07  16/11/21  07:56:03.228     -3.772     33.89583    -83.36027       177.38     2.6         2.5
   56          Valid   5/6  16/11/21  08:01:05  16/11/21  08:01:01.189     -3.811     33.89574    -83.36047       197.38     2.3         2.1
   57          Valid   3/3  16/11/21  10:06:10  16/11/21  10:06:06.189     -3.811     33.90583    -83.35855       197.48    10.9         1.8
