Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude     Altitude    HDOP        eRes
    1          Valid   6/6  16/11/18  21:26:08  16/11/18  21:26:08.468      0.468     33.89584    -83.36038       179.58     1.5         2.7
    2          Valid   7/7  16/11/18  21:31:08  16/11/18  21:31:08.457      0.457     33.89592    -83.36024       184.14     1.5         4.8
    3          Valid   5/5  16/11/18  23:36:10  16/11/18  23:36:09.120     -0.880     33.89605    -83.36032       171.96     5.4         1.5
    4          Valid   6/6  16/11/18  23:41:10  16/11/18  23:41:09.123     -0.877     33.89576    -83.36036       174.85     1.3         3.4
    5          Valid   5/5  16/11/19  01:46:10  16/11/19  01:46:08.913     -1.087     33.89585    -83.36031       175.17     2.9         2.9
    6          Valid   8/8  16/11/19  01:51:07  16/11/19  01:51:06.908     -0.092     33.89583    -83.36030       183.62     1.5         2.0
    7          Valid   9/9  16/11/19  03:56:08  16/11/19  03:56:07.665     -0.335     33.89585    -83.36035       193.53     1.0         5.0
    8          Valid   5/5  16/11/19  04:01:10  16/11/19  04:01:08.612     -1.388     33.89589    -83.36037       173.62     4.6         1.0
    9          Valid   3/3  16/11/19  06:06:10  16/11/19  06:06:08.552     -1.448     33.89657    -83.35964       173.62     3.8         1.4
   10  NotEnoughSats   0/2  16/11/19  06:11:10
   11          Valid   8/9  16/11/19  08:16:07  16/11/19  08:16:06.197     -0.803     33.89591    -83.36032       196.37     1.2         2.7
   12          Valid   5/5  16/11/19  08:21:10  16/11/19  08:21:08.215     -1.785     33.89582    -83.36017       172.11     2.3         2.1
   13  NotEnoughSats   0/1  16/11/19  10:26:10
   14          Valid   7/7  16/11/19  10:31:10  16/11/19  10:31:08.004     -1.996     33.89576    -83.36026       164.19     2.2         3.8
   15          Valid   3/3  16/11/19  12:36:10  16/11/19  12:36:07.944     -2.056     33.89034    -83.36112       164.22    19.2         1.3
   16          Valid   4/4  16/11/19  12:41:10  16/11/19  12:41:08.100     -1.900     33.89488    -83.36043       164.24    84.6         0.1
   17          Valid   4/4  16/11/19  14:46:10  16/11/19  14:46:07.157     -2.843     33.89833    -83.36189       164.28    37.4         0.3
   18          Valid   4/4  16/11/19  14:51:10  16/11/19  14:51:07.603     -2.397     33.89547    -83.35995       164.25     4.0         0.1
   19          Valid   6/7  16/11/19  16:56:09  16/11/19  16:56:07.160     -1.840     33.89581    -83.36033       183.35     1.7         0.8
   20          Valid   6/7  16/11/19  17:01:06  16/11/19  17:01:04.152     -1.848     33.89594    -83.36025       169.49     2.1         2.5
   21          Valid   7/8  16/11/19  19:06:07  16/11/19  19:06:04.931     -2.069     33.89593    -83.36030       167.13     3.7         2.0
   22          Valid   5/5  16/11/19  19:11:10  16/11/19  19:11:06.890     -3.110     33.89581    -83.36040       165.51     4.4         1.0
   23          Valid   7/7  16/11/19  21:16:07  16/11/19  21:16:04.622     -2.378     33.89583    -83.36029       180.48     1.8         3.9
   24          Valid   9/9  16/11/19  21:21:10  16/11/19  21:21:06.624     -3.376     33.89591    -83.36032       163.24     0.9         4.6
   25          Valid   8/8  16/11/19  23:26:07  16/11/19  23:26:04.324     -2.676     33.89588    -83.36028       169.17     1.1         3.2
   26          Valid   9/9  16/11/19  23:31:08  16/11/19  23:31:05.315     -2.685     33.89602    -83.36038       200.62     1.2         6.3
   27          Valid   8/8  16/11/20  01:36:09  16/11/20  01:36:06.127     -2.873     33.89583    -83.36017       177.75     1.4         2.8
   28          Valid   9/9  16/11/20  01:41:08  16/11/20  01:41:05.100     -2.900     33.89596    -83.36033       183.36     1.2         9.4
   29          Valid   8/8  16/11/20  03:46:10  16/11/20  03:46:05.941     -4.059     33.89576    -83.36031       186.77     1.0         6.1
   30          Valid   7/7  16/11/20  03:51:07  16/11/20  03:51:03.907     -3.093     33.89576    -83.36028       183.76     1.1         2.5
   31          Valid   9/9  16/11/20  05:56:09  16/11/20  05:56:05.772     -3.228     33.89585    -83.36033       189.35     1.0         3.7
   32          Valid   7/7  16/11/20  06:01:08  16/11/20  06:01:04.774     -3.226     33.89574    -83.36013       185.85     2.5         2.7
   33          Valid   7/8  16/11/20  08:06:07  16/11/20  08:06:03.577     -3.423     33.89588    -83.36033       165.92     1.8         2.1
   34          Valid   5/6  16/11/20  08:11:07  16/11/20  08:11:03.576     -3.424     33.89586    -83.36034       168.11     2.4         2.3
   35          Valid   7/7  16/11/20  10:16:09  16/11/20  10:16:05.456     -3.544     33.89608    -83.36034       158.27     1.9         3.5
   36          Valid   6/6  16/11/20  10:21:09  16/11/20  10:21:05.484     -3.516     33.89573    -83.36032       159.32     2.7         0.6
   37          Valid   8/8  16/11/20  12:26:07  16/11/20  12:26:03.359     -3.641     33.89585    -83.36039       187.75     1.4         5.0
   38          Valid   7/7  16/11/20  12:31:07  16/11/20  12:31:03.373     -3.627     33.89592    -83.36020       219.11     1.9         3.8
   39          Valid   9/9  16/11/20  14:36:09  16/11/20  14:36:05.097     -3.903     33.89599    -83.36034       188.61     1.3         4.3
   40          Valid   6/6  16/11/20  14:41:09  16/11/20  14:41:05.097     -3.903     33.89582    -83.36037       155.56     1.3         2.1
   41          Valid   7/8  16/11/20  16:46:06  16/11/20  16:46:01.877     -4.123     33.89580    -83.36021       176.97     1.7         0.7
   42          Valid   8/9  16/11/20  16:51:06  16/11/20  16:51:01.848     -4.152     33.89581    -83.36038       181.53     1.3         1.4
   43          Valid   7/8  16/11/20  18:56:06  16/11/20  18:56:01.503     -4.497     33.89549    -83.36065       177.65     3.7         1.4
   44          Valid   7/7  16/11/20  19:01:10  16/11/20  19:01:04.530     -5.470     33.89581    -83.36040       188.80     3.7         0.9
   45          Valid   8/8  16/11/20  21:06:08  16/11/20  21:06:03.279     -4.721     33.89583    -83.36028       181.98     1.3         3.9
   46          Valid   5/5  16/11/20  21:11:10  16/11/20  21:11:04.271     -5.729     33.89583    -83.36039       181.59     4.8         0.4
   47          Valid   9/9  16/11/20  23:16:09  16/11/20  23:16:04.033     -4.967     33.89587    -83.36017       179.63     1.4         6.6
   48          Valid   9/9  16/11/20  23:21:10  16/11/20  23:21:04.001     -5.999     33.89588    -83.36029       187.04     1.3         3.2
   49          Valid   7/7  16/11/21  01:26:08  16/11/21  01:26:02.798     -5.202     33.89583    -83.36028       174.87     1.8         2.1
   50          Valid   8/8  16/11/21  01:31:07  16/11/21  01:31:01.786     -5.214     33.89587    -83.36034       182.50     1.5         3.9
   51          Valid   8/8  16/11/21  03:36:09  16/11/21  03:36:03.579     -5.421     33.89594    -83.36030       180.83     1.1         4.7
   52          Valid   5/5  16/11/21  03:41:10  16/11/21  03:41:03.565     -6.435     33.89600    -83.36045       171.42     7.6         0.9
   53          Valid   7/7  16/11/21  05:46:09  16/11/21  05:46:03.347     -5.653     33.89597    -83.36032       185.30     1.5         6.9
   54          Valid   5/5  16/11/21  05:51:10  16/11/21  05:51:03.379     -6.621     33.89591    -83.36015       181.94     5.3         1.0
   55          Valid   7/8  16/11/21  07:56:08  16/11/21  07:56:02.278     -5.722     33.89589    -83.36000       146.21     1.9         3.4
   56          Valid   7/8  16/11/21  08:01:09  16/11/21  08:01:03.192     -5.808     33.89579    -83.36051       206.06     2.0         3.6
   57          Valid   8/8  16/11/21  10:06:08  16/11/21  10:06:02.065     -5.935     33.89573    -83.36041       177.23     1.5         4.6
