Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude     Altitude    HDOP        eRes
   33          Valid   9/9  16/11/20  08:06:06  16/11/20  08:06:05.416     -0.584     33.89583    -83.36032       187.66     1.3         4.7
   34          Valid   8/9  16/11/20  08:11:08  16/11/20  08:11:07.402     -0.598     33.89588    -83.36033       184.13     1.3         3.2
   35          Valid   7/7  16/11/20  10:16:06  16/11/20  10:16:05.297     -0.703     33.89596    -83.36038       156.95     2.0         2.2
   36          Valid   3/3  16/11/20  10:21:10  16/11/20  10:21:09.297     -0.703     33.90164    -83.35737       156.99     4.6         2.4
   37  NotEnoughSats   0/0  16/11/20  12:26:07
   38          Valid   7/7  16/11/20  12:31:06  16/11/20  12:31:05.182     -0.818     33.89578    -83.36013       206.65     1.3         7.3
   39          Valid   9/9  16/11/20  14:36:07  16/11/20  14:36:06.011     -0.989     33.89588    -83.36035       206.93     1.3         5.3
   40          Valid   8/9  16/11/20  14:41:07  16/11/20  14:41:06.006     -0.994     33.89586    -83.36038       190.46     1.1         3.4
   41          Valid   6/7  16/11/20  16:46:04  16/11/20  16:46:02.757     -1.243     33.89592    -83.36035       195.54     2.2         2.3
   42          Valid   5/6  16/11/20  16:51:04  16/11/20  16:51:02.825     -1.175     33.89603    -83.36017       182.25     3.5         1.5
   43          Valid   8/9  16/11/20  18:56:07  16/11/20  18:56:05.597     -1.403     33.89577    -83.36030       182.67     1.0         4.9
   44          Valid   7/7  16/11/20  19:01:10  16/11/20  19:01:07.578     -2.422     33.89581    -83.36043       181.56     1.1         7.9
   45          Valid   7/7  16/11/20  21:06:05  16/11/20  21:06:03.391     -1.609     33.89595    -83.36030       174.79     2.8         3.9
   46          Valid   7/7  16/11/20  21:11:10  16/11/20  21:11:07.373     -2.627     33.89572    -83.36036       169.04     1.1         3.1
   47          Valid   8/8  16/11/20  23:16:08  16/11/20  23:16:06.160     -1.840     33.89575    -83.36045       195.07     1.1         7.7
   48          Valid   9/9  16/11/20  23:21:09  16/11/20  23:21:07.128     -1.872     33.89587    -83.36043       181.74     1.1         2.1
   49          Valid   9/9  16/11/21  01:26:09  16/11/21  01:26:06.989     -2.011     33.89596    -83.36031       195.09     1.2         5.3
   50          Valid   9/9  16/11/21  01:31:07  16/11/21  01:31:04.975     -2.025     33.89579    -83.36016       185.81     1.1         3.6
   51          Valid   7/7  16/11/21  03:36:10  16/11/21  03:36:06.809     -3.191     33.89582    -83.36014       165.00     1.1         5.7
   52          Valid   9/9  16/11/21  03:41:08  16/11/21  03:41:05.816     -2.184     33.89595    -83.36015       163.75     0.9         2.5
   53          Valid   7/7  16/11/21  05:46:08  16/11/21  05:46:05.637     -2.363     33.89582    -83.36031       215.35     1.2         8.7
   54          Valid   6/6  16/11/21  05:51:05  16/11/21  05:51:02.651     -2.349     33.89584    -83.36026       181.54     1.2         1.3
   55          Valid   8/9  16/11/21  07:56:06  16/11/21  07:56:03.509     -2.491     33.89574    -83.36024       157.05     1.3         5.5
   56          Valid   9/9  16/11/21  08:01:07  16/11/21  08:01:04.487     -2.513     33.89582    -83.36043       193.38     1.1        10.3
   57          Valid   6/6  16/11/21  10:06:10  16/11/21  10:06:06.359     -3.641     33.89589    -83.36039       183.61     1.4         2.8
   58          Valid   7/7  16/11/21  10:11:07  16/11/21  10:11:04.361     -2.639     33.89574    -83.36032       172.50     2.0         4.1
   59          Valid   5/5  16/11/21  12:16:10  16/11/21  12:16:06.247     -3.753     33.89588    -83.36036       173.06     7.4         6.4
   60          Valid   9/9  16/11/21  12:21:09  16/11/21  12:21:06.236     -2.764     33.89579    -83.36038       180.89     1.9         2.4
