Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude     Altitude    HDOP        eRes
    1          Valid   9/9  16/11/18  21:26:08  16/11/18  21:26:10.463      2.463     33.89580    -83.36030       176.71     0.9         1.6
    2          Valid   6/6  16/11/18  21:31:04  16/11/18  21:31:06.408      2.408     33.89580    -83.36040       172.53     1.9         3.3
    3          Valid   9/9  16/11/18  23:36:09  16/11/18  23:36:11.207      2.207     33.89584    -83.36027       187.32     1.2         2.7
    4          Valid   9/9  16/11/18  23:41:10  16/11/18  23:41:11.168      1.168     33.89585    -83.36042       213.18     1.3         7.7
    5          Valid   8/8  16/11/19  01:46:08  16/11/19  01:46:09.957      1.957     33.89577    -83.36032       180.42     1.2         1.1
    6          Valid   7/7  16/11/19  01:51:06  16/11/19  01:51:07.953      1.953     33.89581    -83.36033       191.64     1.3         6.2
    7          Valid   8/8  16/11/19  03:56:10  16/11/19  03:56:10.823      0.823     33.89566    -83.36028       149.73     1.0        10.8
    8          Valid   6/6  16/11/19  04:01:08  16/11/19  04:01:09.797      1.797     33.89570    -83.36038       164.83     3.0         2.1
    9          Valid   7/7  16/11/19  06:06:04  16/11/19  06:06:05.644      1.644     33.89584    -83.36026       173.45     1.3         4.7
   10          Valid   9/9  16/11/19  06:11:08  16/11/19  06:11:09.633      1.633     33.89589    -83.36025       187.23     0.9         2.2
   11          Valid   5/6  16/11/19  08:16:04  16/11/19  08:16:05.485      1.485     33.89583    -83.36029       185.19     2.2         0.9
   12          Valid   9/9  16/11/19  08:21:08  16/11/19  08:21:09.459      1.459     33.89584    -83.36023       198.70     1.0         4.1
   13          Valid   4/4  16/11/19  10:26:10  16/11/19  10:26:10.298      0.298     33.89579    -83.36028       198.70     3.0         0.4
   14          Valid   7/8  16/11/19  10:31:08  16/11/19  10:31:09.300      1.300     33.89586    -83.36025       212.79     1.4         3.4
   15          Valid   6/6  16/11/19  12:36:07  16/11/19  12:36:08.146      1.146     33.89574    -83.36015       212.83     2.4         1.4
   16          Valid   8/8  16/11/19  12:41:04  16/11/19  12:41:05.116      1.116     33.89570    -83.36036       204.55     1.1         4.2
   17          Valid   8/9  16/11/19  14:46:08  16/11/19  14:46:08.891      0.891     33.89578    -83.36036       187.28     1.1         3.9
   18          Valid   5/6  16/11/19  14:51:09  16/11/19  14:51:09.929      0.929     33.89577    -83.36016       177.23     1.8         1.4
   19          Valid   5/6  16/11/19  16:56:04  16/11/19  16:56:04.679      0.679     33.89591    -83.36030       181.74     3.7         1.1
   20          Valid   6/7  16/11/19  17:01:04  16/11/19  17:01:04.664      0.664     33.89586    -83.36025       179.77     2.1         3.3
   21          Valid   8/9  16/11/19  19:06:10  16/11/19  19:06:09.419     -0.581     33.89581    -83.36030       175.60     1.0         2.0
   22          Valid   6/6  16/11/19  19:11:09  16/11/19  19:11:09.469      0.469     33.89577    -83.36008       176.14     1.2         4.3
   23          Valid   6/6  16/11/19  21:16:04  16/11/19  21:16:04.245      0.245     33.89584    -83.36027       182.62     1.2         5.1
   24          Valid   7/7  16/11/19  21:21:10  16/11/19  21:21:09.239     -0.761     33.89585    -83.36037       150.86     1.2         4.5
   25          Valid   9/9  16/11/19  23:26:09  16/11/19  23:26:09.069      0.069     33.89583    -83.36027       173.35     1.2         4.8
   26          Valid   9/9  16/11/19  23:31:07  16/11/19  23:31:07.047      0.047     33.89575    -83.36029       173.56     1.2         1.8
   27          Valid   9/9  16/11/20  01:36:10  16/11/20  01:36:08.829     -1.171     33.89575    -83.36038       164.05     1.2         3.8
   28          Valid   7/7  16/11/20  01:41:05  16/11/20  01:41:04.818     -0.182     33.89570    -83.36028       175.59     1.3         4.3
   29          Valid   6/6  16/11/20  03:46:05  16/11/20  03:46:04.700     -0.300     33.89585    -83.36032       187.99     4.0         1.5
   30          Valid   9/9  16/11/20  03:51:09  16/11/20  03:51:08.687     -0.313     33.89579    -83.36023       193.08     0.9         3.2
   31          Valid   7/7  16/11/20  05:56:09  16/11/20  05:56:08.541     -0.459     33.89581    -83.36024       178.11     1.1         6.7
   32          Valid   8/8  16/11/20  06:01:08  16/11/20  06:01:07.534     -0.466     33.89586    -83.36041       180.85     1.0         1.4
