Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude     Altitude    HDOP        eRes
    1          Valid   5/5  16/11/18  21:26:10  16/11/18  21:26:10.961      0.961     33.89568    -83.36009       208.10     3.9         1.2
    2          Valid   6/6  16/11/18  21:31:04  16/11/18  21:31:05.980      1.980     33.89569    -83.36029       194.99     1.8         4.0
    3          Valid   8/8  16/11/18  23:36:09  16/11/18  23:36:10.668      1.668     33.89594    -83.36031       191.82     1.3         4.9
    4          Valid   6/6  16/11/18  23:41:07  16/11/18  23:41:08.663      1.663     33.89584    -83.36030       190.39     1.4         1.1
    5          Valid   8/8  16/11/19  01:46:07  16/11/19  01:46:08.488      1.488     33.89584    -83.36032       187.87     1.2         5.8
    6          Valid   7/7  16/11/19  01:51:07  16/11/19  01:51:08.482      1.482     33.89580    -83.36015       174.69     1.3         4.5
    7          Valid   8/8  16/11/19  03:56:08  16/11/19  03:56:09.255      1.255     33.89587    -83.36034       178.88     1.0         1.8
    8          Valid   6/6  16/11/19  04:01:04  16/11/19  04:01:05.268      1.268     33.89585    -83.36029       181.48     1.2         3.7
    9          Valid   9/9  16/11/19  06:06:10  16/11/19  06:06:10.022      0.022     33.89584    -83.36014       186.37     0.9         5.5
   10          Valid   6/6  16/11/19  06:11:10  16/11/19  06:11:10.015      0.015     33.89580    -83.36040       187.88     1.2         3.6
   11          Valid   7/8  16/11/19  08:16:07  16/11/19  08:16:07.811      0.811     33.89570    -83.36034       186.72     1.4         5.6
   12          Valid   7/8  16/11/19  08:21:10  16/11/19  08:21:09.809     -0.191     33.89581    -83.36025       185.12     1.3         1.7
   13          Valid   6/6  16/11/19  10:26:07  16/11/19  10:26:07.620      0.620     33.89583    -83.36038       191.71     2.1         4.9
   14          Valid   6/6  16/11/19  10:31:10  16/11/19  10:31:09.609     -0.391     33.89581    -83.36027       176.77     1.2        13.0
   15          Valid   8/8  16/11/19  12:36:10  16/11/19  12:36:09.399     -0.601     33.89577    -83.36028       198.87     1.1         5.7
   16          Valid   7/8  16/11/19  12:41:08  16/11/19  12:41:08.424      0.424     33.89576    -83.36042       195.34     1.0         3.3
   17          Valid   7/8  16/11/19  14:46:08  16/11/19  14:46:08.129      0.129     33.89580    -83.36026       175.60     1.3         1.0
   18          Valid   5/5  16/11/19  14:51:10  16/11/19  14:51:09.075     -0.925     33.89596    -83.36048       182.51     3.3         1.6
   19          Valid   7/8  16/11/19  16:56:07  16/11/19  16:56:06.935     -0.065     33.89641    -83.36030       201.76     2.1        11.6
   20          Valid   7/8  16/11/19  17:01:06  16/11/19  17:01:05.871     -0.129     33.89580    -83.36037       201.69     1.3         7.3
   21          Valid   6/7  16/11/19  19:06:06  16/11/19  19:06:05.638     -0.362     33.89572    -83.36038       173.18     2.4         3.5
   22          Valid   7/7  16/11/19  19:11:07  16/11/19  19:11:06.632     -0.368     33.89585    -83.36034       172.25     1.2         6.8
   23          Valid   7/7  16/11/19  21:16:09  16/11/19  21:16:08.381     -0.619     33.89596    -83.36020       161.39     1.3         7.7
   24          Valid   9/9  16/11/19  21:21:10  16/11/19  21:21:08.372     -1.628     33.89573    -83.36022       174.46     1.0        12.6
   25          Valid   7/7  16/11/19  23:26:09  16/11/19  23:26:08.125     -0.875     33.89570    -83.36026       161.09     1.6        10.3
   26          Valid   9/9  16/11/19  23:31:07  16/11/19  23:31:06.094     -0.906     33.89566    -83.36037       199.51     1.0         4.6
   27          Valid   6/6  16/11/20  01:36:05  16/11/20  01:36:03.902     -1.098     33.89568    -83.36039       200.77     1.9         0.6
   28          Valid   6/6  16/11/20  01:41:04  16/11/20  01:41:02.891     -1.109     33.89581    -83.36042       218.17     1.5         3.1
   29          Valid   9/9  16/11/20  03:46:08  16/11/20  03:46:06.716     -1.284     33.89583    -83.36091       262.29     1.0        25.4
   30          Valid   8/8  16/11/20  03:51:07  16/11/20  03:51:05.738     -1.262     33.89584    -83.36042       198.88     1.0         6.2
   31          Valid   8/8  16/11/20  05:56:08  16/11/20  05:56:06.559     -1.441     33.89579    -83.36034       202.22     1.0         4.3
   32          Valid   9/9  16/11/20  06:01:08  16/11/20  06:01:06.553     -1.447     33.89578    -83.36035       182.96     0.9         3.6
   33          Valid   8/9  16/11/20  08:06:07  16/11/20  08:06:05.396     -1.604     33.89588    -83.36022       161.01     1.4         3.9
   34          Valid   5/6  16/11/20  08:11:06  16/11/20  08:11:04.370     -1.630     33.89581    -83.36026       181.12     1.8         1.3
   35          Valid   8/8  16/11/20  10:16:07  16/11/20  10:16:05.274     -1.726     33.89586    -83.36031       174.87     1.8         3.5
   36          Valid   6/6  16/11/20  10:21:10  16/11/20  10:21:07.233     -2.767     33.89566    -83.36030       168.64     2.1         0.9
   37          Valid   8/8  16/11/20  12:26:08  16/11/20  12:26:06.118     -1.882     33.89580    -83.36034       187.38     1.1         5.1
   38          Valid   7/7  16/11/20  12:31:08  16/11/20  12:31:06.109     -1.891     33.89560    -83.36062       272.97     1.1         5.2
   39          Valid   5/6  16/11/20  14:36:07  16/11/20  14:36:04.937     -2.063     33.89598    -83.36036       191.29     3.5         1.1
   40          Valid   8/9  16/11/20  14:41:09  16/11/20  14:41:06.874     -2.126     33.89586    -83.36044       199.16     1.2         6.4
